run_accession,sample_accession,study_accession,country,collection_date,host,host_scientific_name,isolation_source,instrument_platform,instrument_model,library_strategy,read_count,base_count,first_public
ERR11049015,SAMEA112799215,PRJEB9680,,,,,,ILLUMINA,NextSeq 500,WGS,3901568,582032781,2023-03-21
ERR11049267,SAMEA112799437,PRJEB9680,,,,,,ILLUMINA,NextSeq 500,WGS,5042310,695246478,2023-03-21
ERR11049355,SAMEA112799517,PRJEB9680,,,,,,ILLUMINA,NextSeq 500,WGS,6237824,898875364,2023-03-21
ERR11049430,SAMEA112799584,PRJEB9680,,,,,,ILLUMINA,NextSeq 500,WGS,6410848,956950678,2023-03-21
ERR11049623,SAMEA112799757,PRJEB9680,,,,,,ILLUMINA,NextSeq 500,WGS,6504496,922064397,2023-03-21
ERR11049970,SAMEA112800066,PRJEB9680,,,,,,ILLUMINA,NextSeq 500,WGS,8485196,1261702809,2023-03-21
ERR11050855,SAMEA112800854,PRJEB9680,,,,,,ILLUMINA,NextSeq 2000,WGS,5515442,810173138,2023-03-21
ERR11067515,SAMEA112801348,PRJEB9680,,,,,,ILLUMINA,NextSeq 2000,WGS,2514240,361253866,2023-03-21
ERR11067522,SAMEA112801355,PRJEB9680,,,,,,ILLUMINA,NextSeq 2000,WGS,5200134,750231944,2023-03-21
ERR11067577,SAMEA112801407,PRJEB9680,,,,,,ILLUMINA,NextSeq 2000,WGS,2616348,376596300,2023-03-21
ERR11067601,SAMEA112801431,PRJEB9680,,,,,,ILLUMINA,NextSeq 2000,WGS,6153190,790909423,2023-03-21
ERR11068099,SAMEA112801901,PRJEB9680,,,,,,ILLUMINA,NextSeq 2000,WGS,3777388,540000368,2023-03-21
ERR11081984,SAMEA112805704,PRJEB9680,,,,,,ILLUMINA,Illumina HiSeq 2500,WGS,1974920,197492000,2023-03-22
ERR11081985,SAMEA112805704,PRJEB9680,,,,,,ILLUMINA,Illumina HiSeq 2500,WGS,2147686,536921500,2023-03-22
ERR11082995,SAMEA112806629,PRJEB9680,,,,,,ILLUMINA,NextSeq 500,WGS,5821304,865264948,2023-03-22
ERR13093900,SAMEA115577951,PRJEB60052,Ireland,2020,,homo sapiens,clinical isolate,ILLUMINA,Illumina MiSeq,WGS,2067088,302704087,2024-05-13
ERR13260031,SAMEA115737784,PRJEB76547,USA,2020,,,,ILLUMINA,Illumina MiSeq,WGS,2128504,460085043,2024-06-14
ERR13285463,SAMEA115746648,PRJEB76547,USA,2020,,,,ILLUMINA,Illumina NovaSeq 6000,WGS,10490238,1513566775,2024-06-16
ERR13285511,SAMEA115746690,PRJEB76547,USA,2020,,,,ILLUMINA,Illumina NovaSeq 6000,WGS,4113220,582228501,2024-06-16
ERR13291662,SAMEA115750798,PRJEB76547,USA,2020,,,,ILLUMINA,Illumina MiSeq,WGS,2088590,509914470,2024-06-17
ERR133897,SAMEA1404002,PRJEB2138,Russia,2008,Homo sapiens,Homo sapiens,not known,ILLUMINA,Illumina HiSeq 2000,WGS,4705519,941103800,2012-06-06
ERR2513995,SAMEA1119176,PRJEB25991,,,,,,ILLUMINA,Illumina MiSeq,WGS,1062897,281280144,2018-09-24
ERR2517475,SAMEA3449452,PRJEB26002,,,,,,ILLUMINA,Illumina HiSeq 2500,WGS,1936558,474581831,2018-09-24
ERR4407546,SAMEA7129318,PRJEB39715,,,,,Human,ILLUMINA,Illumina MiSeq,WGS,327976,135688644,2020-08-07
ERR4814544,SAMEA7547903,PRJEB41201,,,,,,ILLUMINA,Illumina MiSeq,WGS,1831030,272628962,2021-10-20
ERR4815345,SAMEA7548705,PRJEB41201,,,,,,ILLUMINA,Illumina HiSeq 2500,WGS,6598548,657264574,2021-10-20
ERR4815396,SAMEA7548756,PRJEB41201,,,,,,ILLUMINA,Illumina HiSeq 2500,WGS,9096810,812025287,2021-10-20
ERR4819109,SAMEA7552474,PRJEB41201,,,,,,ILLUMINA,Illumina HiSeq 2500,WGS,3434552,340104775,2021-10-20
ERR4819365,SAMEA7552730,PRJEB41201,,,,,,ILLUMINA,Illumina HiSeq 2500,WGS,4468554,441826736,2021-10-20
ERR4828844,SAMEA7561282,PRJEB41242,,,,,,ILLUMINA,Illumina MiniSeq,WGS,2648854,385405334,2021-10-20
ERR4828953,SAMEA7561391,PRJEB41242,,,,,,ILLUMINA,NextSeq 500,WGS,1968468,240184597,2021-10-20
ERR4829273,SAMEA7561711,PRJEB41242,,,,,,ILLUMINA,NextSeq 500,WGS,2480452,348190696,2021-10-20
ERR4829347,SAMEA7561785,PRJEB41242,,,,,,ILLUMINA,NextSeq 500,WGS,3730852,536879977,2021-10-20
ERR4829697,SAMEA7562136,PRJEB41242,,,,,,ILLUMINA,NextSeq 500,WGS,3989618,554376240,2021-10-20
ERR4829761,SAMEA7562200,PRJEB41242,,,,,,ILLUMINA,NextSeq 500,WGS,3563698,476608833,2021-10-20
ERR4831168,SAMEA7563609,PRJEB41274,,,,,,ILLUMINA,NextSeq 500,WGS,4485488,667388075,2021-10-20
ERR9891985,SAMEA14269050,PRJEB52390,France,2017-12-05,,homo sapiens,Sereus liquid,ILLUMINA,Illumina MiSeq,WGS,2782058,586075221,2022-11-29
SRR16370406,SAMN20693260,PRJNA771909,missing,missing,missing,,missing,ILLUMINA,Illumina HiSeq 2500,WGS,1642050,674090379,2021-10-17
SRR18910996,SAMN27761665,PRJNA650381,USA:New York,2019-07-14,Homo sapiens,Homo sapiens,sputum,ILLUMINA,Illumina MiSeq,WGS,1120610,547790442,2022-04-26
SRR19304124,SAMN28538207,PRJNA834606,Italy: Rome,2018-06-25,Homo sapiens,Homo sapiens,sputum,ILLUMINA,Illumina MiSeq,WGS,2523997,752151106,2022-05-21
SRR21686598,SAMN30990546,PRJNA766641,USA,2018,Homo sapiens,Homo sapiens,missing,ILLUMINA,Illumina MiSeq,WGS,1045388,510442861,2022-09-24
SRR21689552,SAMN30949107,PRJNA882748,Netherlands,2019,Homo sapiens,Homo sapiens,sputum,ILLUMINA,Illumina NovaSeq 6000,WGS,10223992,1474691595,2022-09-25
SRR21690138,SAMN30949043,PRJNA882748,Netherlands,2019,Homo sapiens,Homo sapiens,sputum,ILLUMINA,Illumina NovaSeq 6000,WGS,4034172,571225252,2022-09-25
SRR21690799,SAMN30950081,PRJNA882748,Netherlands,2017,Homo sapiens,Homo sapiens,human,ILLUMINA,Illumina HiSeq 2500,WGS,5311915,626653545,2022-09-25
SRR21732354,SAMN31030483,PRJNA857537,Australia,2017-01-24,Homo sapiens,Homo sapiens,missing,ILLUMINA,NextSeq 500,WGS,2017806,599234916,2023-11-01
SRR28409333,SAMN40566210,PRJNA766641,USA:NY,2021,Homo sapiens,Homo sapiens,body fluid,ILLUMINA,Illumina MiSeq,WGS,972324,456447850,2024-03-22
SRR28646118,SAMN40946993,PRJNA1074784,Romania,2021,Homo sapiens,Homo sapiens,sputum,ILLUMINA,NextSeq 2000,WGS,1885289,415209139,2024-04-14
SRR28858582,SAMN41146708,PRJNA766641,USA:NY,2022,Homo sapiens,Homo sapiens,,ILLUMINA,NextSeq 550,WGS,1867090,547504544,2024-05-12
SRR28860094,SAMN41148698,PRJNA766641,USA:NY,2023,Homo sapiens,Homo sapiens,,ILLUMINA,NextSeq 550,WGS,776021,223160306,2024-05-12
SRR29052642,SAMN41417862,PRJNA1109295,USA,2015,Homo sapiens,Homo sapiens,missing,ILLUMINA,Illumina HiSeq 2000,WGS,1642050,674090379,2024-05-26
