country,lineage,n
United States of America,L4.13.1,17
United States of America,L4.13.2,20
Georgia,L4.13.2,16
Netherlands,L4.13.1,3
Netherlands,L4.13.2,9
Italy,L4.13.1,3
Italy,L4.13.2,2
Switzerland,L4.13.2,5
United Kingdom,L4.13.1,1
United Kingdom,L4.13.2,3
Germany,L4.13.2,4
Bulgaria,L4.13.2,4
Australia,L4.13.1,1
Australia,L4.13.2,2
Romania,L4.13.1,1
Romania,L4.13.2,2
Kosovo,L4.13.2,3
Sweden,L4.13.2,2
Bangladesh,L4.13.2,2
Israel,L4.13.2,2
Ireland,L4.13.1,1
Russia,L4.13.1,1
France,L4.13.1,1
Lebanon,L4.13.2,1
Tanzania,L4.13.2,1
Spain,L4.13.2,1
