strain_name,sub_lineage_dir,n_spdis,moi,Ates,Coll,Coll L1,Coscolla,Freschi,Gisch,Lipworth,Merker,Napier,Netikul,Palittapongarnpim,Shitikov,Shitikov23,Shuaib,Stucki,Thawornwattana,Zwyer
ERR11049015,L4.13.1,855,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11049267,L4.13.1,892,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11049355,L4.13.1,904,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11049430,L4.13.1,877,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11049623,L4.13.1,917,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11049970,L4.13.1,895,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11050855,L4.13.1,883,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11067515,L4.13.1,869,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11067522,L4.13.1,924,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11067577,L4.13.1,895,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11067601,L4.13.1,918,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11068099,L4.13.1,904,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11081984,L4.13.1,848,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11081985,L4.13.1,908,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR11082995,L4.13.1,901,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR13093900,L4.13.1,849,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR13260031,L4.13.1,902,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR13285463,L4.13.1,894,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR13285511,L4.13.1,888,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR13291662,L4.13.1,895,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR133897,L4.13.1,906,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2513995,L4.13.1,837,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR2517475,L4.13.1,815,4.13.1,,4,,,4,,,,4.9 (2/2),,,,4 (2/2),,4.10 (2/3),,
ERR4407546,L4.13.1,797,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4814544,L4.13.1,845,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4815345,L4.13.1,901,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4815396,L4.13.1,928,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4819109,L4.13.1,856,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4819365,L4.13.1,880,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4828844,L4.13.1,842,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4828953,L4.13.1,850,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4829273,L4.13.1,845,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4829347,L4.13.1,853,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4829697,L4.13.1,867,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4829761,L4.13.1,867,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR4831168,L4.13.1,862,4.13.1,,4,,,4.13,,DassieSuricattae.A (1/2),,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
ERR9891985,L4.13.1,834,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR16370406,L4.13.1,859,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR18910996,L4.13.1,869,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR19304124,L4.13.1,874,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR21686598,L4.13.1,895,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR21689552,L4.13.1,874,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR21690138,L4.13.1,872,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR21690799,L4.13.1,862,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR21732354,L4.13.1,871,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR28409333,L4.13.1,890,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR28646118,L4.13.1,871,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR28858582,L4.13.1,871,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR28860094,L4.13.1,817,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR29052642,L4.13.1,859,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR30984353,L4.13.1,864,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
SRR31008949,L4.13.1,848,4.13.1,,4,,,4.13,,,,4 (3/3),,,,4 (2/2),,4.10 (2/3),,
