strain_name	sub_lineage	n_spdis	n_missing_genes	n_missing_rd	mean_depth	covered_bases_percent	mean_mapq	mean_baseq	gc_content	country	collection_date	host	bioproject	biosample	platform
ERR11049015	L4.13.1	855	27	22	120.149	0.991352	59.3	255	0.655				PRJEB9680	SAMEA112799215	ILLUMINA
ERR11049267	L4.13.1	892	21	24	144.94	0.995607	59.1	255	0.655				PRJEB9680	SAMEA112799437	ILLUMINA
ERR11049355	L4.13.1	904	21	20	187.12	0.995733	59.2	255	0.655				PRJEB9680	SAMEA112799517	ILLUMINA
ERR11049430	L4.13.1	877	29	24	190.886	0.994328	59.3	255	0.655				PRJEB9680	SAMEA112799584	ILLUMINA
ERR11049623	L4.13.1	917	2	21	177.099	0.998089	59.2	255	0.655				PRJEB9680	SAMEA112799757	ILLUMINA
ERR11049970	L4.13.1	895	2	21	190.393	0.997738	59.4	255	0.655				PRJEB9680	SAMEA112800066	ILLUMINA
ERR11050855	L4.13.1	883	21	21	160.53	0.995709	59.2	255	0.655				PRJEB9680	SAMEA112800854	ILLUMINA
ERR11067515	L4.13.1	869	21	22	71.9455	0.995441	59.2	255	0.655				PRJEB9680	SAMEA112801348	ILLUMINA
ERR11067522	L4.13.1	924	14	27	148.187	0.996815	59.2	255	0.655				PRJEB9680	SAMEA112801355	ILLUMINA
ERR11067577	L4.13.1	895	2	24	73.3961	0.998734	59.2	255	0.655				PRJEB9680	SAMEA112801407	ILLUMINA
ERR11067601	L4.13.1	918	2	25	147.873	0.998909	59.1	255	0.655				PRJEB9680	SAMEA112801431	ILLUMINA
ERR11068099	L4.13.1	904	1	23	108.395	0.998829	59.2	255	0.655				PRJEB9680	SAMEA112801901	ILLUMINA
ERR11081984	L4.13.1	848	1	14	37.788	0.998551	59	255	0.655				PRJEB9680	SAMEA112805704	ILLUMINA
ERR11081985	L4.13.1	908	3	22	102.513	0.995677	59.5	255	0.655				PRJEB9680	SAMEA112805704	ILLUMINA
ERR11082995	L4.13.1	901	2	17	176.541	0.99801	59.4	255	0.655				PRJEB9680	SAMEA112806629	ILLUMINA
ERR13093900	L4.13.1	849	17	22	62.2123	0.991544	59.2	255	0.655	Ireland	2020		PRJEB60052	SAMEA115577951	ILLUMINA
ERR13260031	L4.13.1	902	2	21	98.6501	0.997457	59.4	255	0.655	USA	2020		PRJEB76547	SAMEA115737784	ILLUMINA
ERR13285463	L4.13.1	894	15	20	175.005	0.996524	59.3	255	0.655	USA	2020		PRJEB76547	SAMEA115746648	ILLUMINA
ERR13285511	L4.13.1	888	29	28	117.604	0.994115	59.3	255	0.655	USA	2020		PRJEB76547	SAMEA115746690	ILLUMINA
ERR13291662	L4.13.1	895	19	19	103.86	0.991595	59.5	255	0.655	USA	2020		PRJEB76547	SAMEA115750798	ILLUMINA
ERR133897	L4.13.1	906	14	29	206.608	0.998425	59.2	255	0.654164	Russia	2008	Homo sapiens	PRJEB2138	SAMEA1404002	ILLUMINA
ERR2513995	L4.13.1	837	15	21	61.2656	0.9947199999999999	59.4	255	0.64542				PRJEB25991	SAMEA1119176	ILLUMINA
ERR2517475	L4.13.1	815	30	30	65.1113	0.997589	58.6	255	0.638224				PRJEB26002	SAMEA3449452	ILLUMINA
